51855551,63.14%,36.86%,25.41%,1.71%,55.29%,0.15%,0.00%,16.33%,1.11%
481358,43.24%,56.76%,23.64%,0.03%,53.31%,0.00%,0.00%,1.71%,21.31%
664658,35.84%,64.16%,40.19%,3.88%,35.50%,0.47%,7.74%,6.65%,5.56%
769322,28.08%,71.92%,33.46%,0.11%,55.20%,0.94%,0.24%,1.58%,8.47%
46377423,40.63%,59.37%,74.76%,2.95%,19.42%,0.02%,0.20%,0.88%,1.77%
4239900,50.02%,49.98%,61.38%,1.34%,29.69%,0.43%,0.01%,2.20%,4.94%
60226439,42.80%,57.20%,16.94%,0.06%,76.06%,0.03%,0.00%,1.11%,5.79%
37866803,50.22%,49.78%,61.51%,0.50%,17.50%,0.08%,0.00%,8.01%,12.41%
285560,24.95%,75.05%,30.30%,5.67%,57.30%,0.00%,0.00%,1.15%,5.58%
13484117,31.49%,68.51%,16.61%,0.13%,82.03%,0.02%,0.02%,0.83%,0.37%
16616525,26.71%,73.29%,13.63%,0.12%,54.87%,0.17%,0.00%,2.69%,28.52%
62235718,47.68%,52.32%,27.50%,2.41%,57.79%,0.57%,0.22%,3.34%,8.16%
9933618,44.20%,55.80%,52.00%,3.23%,39.01%,0.81%,0.32%,2.97%,1.66%
2159075,25.34%,74.66%,32.58%,2.12%,21.35%,2.50%,22.21%,1.37%,17.87%
15566373,36.88%,63.12%,25.25%,1.29%,58.13%,0.12%,0.16%,3.24%,11.81%
13907368,24.30%,75.70%,7.68%,1.04%,22.47%,0.05%,0.00%,1.30%,67.47%
58844737,56.72%,43.28%,42.13%,3.46%,32.20%,0.52%,0.45%,6.33%,14.91%
354700046,53.69%,46.31%,88.68%,6.65%,3.53%,0.07%,0.01%,0.67%,0.39%
3400703,45.42%,54.58%,13.85%,0.12%,42.27%,0.04%,0.00%,2.26%,41.46%
345492225,31.49%,68.51%,71.54%,0.91%,24.09%,0.28%,0.08%,0.96%,2.14%
369985040,33.18%,66.82%,43.81%,1.42%,30.95%,7.67%,11.25%,2.31%,2.60%
4794296,12.28%,87.72%,46.91%,2.07%,26.99%,8.97%,10.73%,1.04%,3.29%
4363945,82.22%,17.78%,55.10%,0.19%,41.38%,0.08%,0.00%,1.37%,1.87%
61342722,32.34%,67.66%,30.97%,0.47%,57.77%,0.11%,0.00%,2.55%,8.12%
445104,19.45%,80.55%,20.01%,0.00%,74.83%,0.00%,0.00%,4.46%,0.70%
19466728,46.64%,53.36%,45.81%,1.08%,39.51%,1.01%,1.87%,7.79%,2.93%
16837277,38.41%,61.59%,41.62%,2.52%,35.59%,0.07%,0.00%,8.66%,11.54%
1614207,50.45%,49.55%,29.91%,2.53%,60.30%,0.11%,4.85%,0.46%,1.84%
336202322,42.34%,57.66%,38.92%,1.00%,45.01%,0.15%,0.01%,3.88%,11.03%
285954802,13.34%,86.66%,55.14%,0.67%,5.22%,25.28%,0.06%,10.71%,2.93%
2998004,57.55%,42.45%,39.87%,2.14%,34.40%,0.17%,0.00%,9.03%,14.39%
5846909,51.44%,48.56%,44.84%,2.20%,44.16%,0.08%,0.28%,4.17%,4.26%
1387606,49.51%,50.49%,62.22%,1.34%,30.89%,0.00%,0.32%,3.93%,1.28%
1593998990,51.39%,48.61%,48.85%,2.14%,38.23%,0.10%,0.16%,2.87%,7.64%
5600036,76.11%,23.89%,23.52%,0.33%,62.29%,1.72%,0.26%,5.56%,6.31%
14993524,55.95%,44.05%,58.41%,0.87%,34.53%,1.97%,2.02%,1.35%,0.85%
26628732,35.25%,64.75%,12.22%,0.46%,72.99%,0.06%,13.62%,0.47%,0.16%
1804974,41.57%,58.43%,32.32%,0.88%,45.69%,0.11%,0.21%,1.70%,19.09%
11462271,45.85%,54.15%,47.73%,4.28%,6.51%,3.65%,1.76%,2.41%,33.66%
4861231,40.88%,59.12%,50.87%,0.50%,41.61%,0.05%,0.00%,0.69%,6.28%
4225375,42.89%,57.11%,43.71%,3.52%,42.82%,0.15%,0.48%,1.28%,8.04%
742017,62.71%,37.29%,11.31%,0.24%,85.65%,0.00%,0.00%,1.32%,1.49%
2669044,36.99%,63.01%,51.61%,6.41%,34.51%,0.32%,0.00%,2.82%,4.32%
9219102,42.56%,57.44%,37.79%,1.19%,58.02%,0.02%,0.01%,0.93%,2.04%
13074931,65.75%,34.25%,70.07%,0.58%,5.95%,0.06%,0.00%,4.20%,19.14%
4866025,37.20%,62.80%,31.48%,0.91%,37.78%,0.16%,0.00%,5.41%,24.26%
7473809,14.07%,85.93%,24.95%,0.04%,54.69%,0.02%,0.00%,1.36%,18.93%
137569629,32.06%,67.94%,18.96%,1.09%,71.27%,0.06%,0.05%,1.01%,7.56%
6109744,54.11%,45.89%,13.31%,0.14%,80.67%,0.02%,0.38%,2.05%,3.43%
5016693,42.98%,57.02%,57.29%,2.07%,29.04%,0.45%,2.78%,2.06%,6.31%
3773885,38.68%,61.32%,41.63%,0.53%,47.14%,0.79%,0.48%,4.70%,4.72%
89014386,80.76%,19.24%,29.49%,0.97%,56.48%,0.14%,2.42%,2.25%,8.26%
756939,48.69%,51.31%,35.52%,0.46%,37.77%,1.34%,0.00%,2.87%,22.03%
1157882,44.85%,55.15%,79.97%,4.15%,5.79%,0.00%,0.00%,5.13%,4.96%
51907306,62.40%,37.60%,49.47%,1.72%,31.32%,0.43%,0.15%,7.43%,9.48%
1189189,61.54%,38.46%,82.04%,1.83%,7.45%,0.18%,2.43%,2.80%,3.27%
14021170,34.29%,65.71%,14.57%,0.82%,66.99%,0.20%,0.03%,2.80%,14.59%
59886113,33.40%,66.60%,32.45%,1.13%,12.73%,0.35%,2.61%,8.16%,42.56%
16120697,33.43%,66.57%,20.56%,1.58%,61.55%,0.08%,0.02%,6.65%,9.57%
777538,53.17%,46.83%,48.32%,0.01%,43.36%,0.00%,0.00%,1.52%,6.79%
7994460,39.12%,60.88%,35.03%,2.05%,39.93%,0.03%,0.01%,13.22%,9.74%
