"32 Macpherson Street Cremorne, NSW, 2090",LOT 1 DP831995,Residential,471,4,2,2,1900,"28 Nov 2019:$2,580,000、30 Oct 2006:$1,100,000、18 Aug 1997:$635,000、25 Mar 1993:$346,000、"
"74 Macpherson Street Cremorne, NSW, 2090",LOT 5 DP12587,Residential,398,3,1,1,1930,"23 Nov 2019:$1,814,000、6 Nov 1992:$115,000、"
"13 Fifth Avenue Cremorne, NSW, 2090",LOT 6 DP9083,Residential,462,3,1,1,1915,"27 Nov 2019:$2,670,000、14 Oct 2019:$0、"
"18 Bertha Road Cremorne, NSW, 2090",LOT 10 DP843314,Residential,476,3,2,2,2001,"20 Nov 2019:$1,900,000、24 Jul 1997:$907,000、"
"257 Ben Boyd Road Cremorne, NSW, 2090",LOT A DP108078,Residential,266,3,2,1,1905,"20 Nov 2019:$2,390,000、2 Dec 2005:$950,000、"
"3 Samora Avenue Cremorne, NSW, 2090",LOT 2 DP18485,Residential,582,4,3,2,0,"15 Nov 2019:$3,110,000、"
"104C Young Street Cremorne, NSW, 2090",LOT 2 DP847457,Low Density Residential,323,3,2,1,1996,"13 Nov 2019:$2,220,000、10 Nov 2014:$1,455,000、26 Mar 2007:$1,125,000、30 Apr 1996:$557,000、20 Dec 1994:$175,000、"
"14 Bertha Road Cremorne, NSW, 2090",LOT 2 DP530625,Residential,538,4,3,2,1970,"11 Nov 2019:$7,100,000、20 Mar 2003:$2,625,000、11 Nov 1988:$1,069,969、"
"60 Sutherland Street Cremorne, NSW, 2090",LOT 3 DP736777,Residential,322,3,1,1,1910,"11 Nov 2019:$2,500,000、9 Nov 2011:$620,000、18 May 1992:$363,000、"
"104D Young Street Cremorne, NSW, 2090",LOT 3 DP847457,Low Density Residential,324,3,2,1,1996,"4 Nov 2019:$2,252,000、7 Feb 2015:$1,600,000、23 Mar 2009:$1,230,000、18 May 2002:$100,300、6 Aug 1996:$552,500、20 Dec 1994:$175,000、"
"118 Young Street Cremorne, NSW, 2090",LOT 1 DP533888,Residential,917,4,3,2,2014,"2 Nov 2019:$7,320,000、25 Sep 2004:$1,635,000、"
"2 Sutherland Street Cremorne, NSW, 2090",LOT 1 DP528502,Residential,"1,246",0,0,0,0,"25 Oct 2019:$14,100,000、"
"1 Ada Street Cremorne, NSW, 2090",LOT B DP109303,Residential,360,3,1,1,1920,"24 Oct 2019:$1、21 May 2004:$875,000、"
"48 Sutherland Street Cremorne, NSW, 2090",LOT 1 DP818528,Residential,325,4,2,1,1910,"19 Oct 2019:$2,466,000、19 Nov 1993:$455,000、6 Oct 1993:$455,000、11 Aug 1992:$401,000、11 Sep 1990:$332,000、"
"49 Ellalong Road Cremorne, NSW, 2090",LOT 22 DP9859,Residential,569,4,2,4,1920,"22 Oct 2019:$4,750,000、12 Dec 2017:$4,425,000、4 Sep 2007:$1,535,000、"
"15 Illiliwa Street Cremorne, NSW, 2090",LOT 1 DP937672,Residential,500,4,3,1,1915,"18 Oct 2019:$0、28 Jun 2004:$1,140,000、5 Dec 1985:$0、"
"118 Macpherson Street Cremorne, NSW, 2090",LOT 3 DP9859,Low Density Residential,512,3,1,1,0,"15 Oct 2019:$3,360,000、12 Aug 2014:$800,000、"
"110A Young Street Cremorne, NSW, 2090",LOT 22 DP1115582,Low Density Residential,548,3,3,2,2013,"18 Oct 2019:$3,450,000、19 Mar 2015:$3,050,000、19 Oct 2011:$975,000、13 May 2008:$1,215,000、11 May 2007:$1,165,000、"
"22 Bertha Road Cremorne, NSW, 2090",LOT 4 DP826366,Low Density Residential,332,5,2,4,2000,"11 Oct 2019:$6,000,000、7 Mar 2015:$3,958,888、21 Aug 1992:$1,320,000、"
"7 Spofforth Lane Cremorne, NSW, 2090",LOT 1 DP847742,Residential,154,2,1,1,0,10 Oct 2019:$0、
"59 Benelong Road Cremorne, NSW, 2090",LOT 12 DP571834,Residential,216,3,2,1,1910,"4 Oct 2019:$2,000,000、12 Aug 1997:$450,000、"
"34 Montague Road Cremorne, NSW, 2090",LOT B DP440324,Residential,354,3,2,1,1920,"26 Sep 2019:$2,470,000、27 May 2010:$1,580,000、25 Jan 2007:$1,180,000、20 Feb 2003:$955,000、1 Aug 1996:$487,000、15 Apr 1987:$187,000、"
"7 Fernhurst Avenue Cremorne, NSW, 2090",LOT 5 DP18381,Low Density Residential,550,4,4,2,2005,"16 Sep 2019:$4,515,000、30 Jan 2017:$912,500、30 Jan 2017:$0、6 Mar 2003:$1,465,000、"
"61 Murdoch Street Cremorne, NSW, 2090",LOT 44 DP8862,Residential,628,3,3,0,2009,17 Aug 2019:$0、3 Aug 2005:$0、
"36A Waters Lane Cremorne, NSW, 2090",North Sydney,[],171,3,2,1,1995,15 Aug 2019:$0、
"66 Parraween Street Cremorne, NSW, 2090",LOT 1 DP1001062,High Density Residential,230,2,2,1,1925,"10 Sep 2019:$2,430,347、20 Jun 2015:$1,550,000、30 Mar 2002:$708,000、16 Jul 1999:$465,000、17 Jul 1991:$325,000、"
"36A Waters Road Cremorne, NSW, 2090",LOT 13 DP809814,Residential,171,3,2,1,0,"15 Aug 2019:$2,150,000、8 Mar 2010:$1,090,000、5 Nov 1993:$395,000、1 Oct 1993:$395,000、6 Feb 1992:$385,000、6 Jun 1991:$150,000、"
"13 Claude Avenue Cremorne, NSW, 2090",LOT 26 DP614023,Residential,428,4,3,1,0,14 Aug 2019:$0、
"26 Benelong Road Cremorne, NSW, 2090",LOT 1 DP310711,Residential,453,0,0,1,0,9 Aug 2019:$0、
"31 Wonga Road Cremorne, NSW, 2090",LOT 77 DP10291,Residential,506,5,4,2,2005,"3 Aug 2019:$6,050,000、19 Sep 2005:$3,425,000、23 Aug 1996:$8,000、26 Jul 1996:$800,000、"
"24 Wonga Road Cremorne, NSW, 2090",LOT 1 DP1120722,Residential,483,5,4,3,0,"6 Aug 2019:$0、23 Mar 2012:$5,700,000、23 May 2007:$4,175,000、"
"37 Young Street Cremorne, NSW, 2090",LOT 1 DP1029838,Residential,241,3,1,1,1915,"20 Jul 2019:$1,670,000、11 Mar 2011:$995,000、29 Aug 2001:$615,000、"
"37 Earle Street Cremorne, NSW, 2090",LOT 1 DP527432,Low Density Residential,247,2,1,1,1920,"19 Jul 2019:$1,900,000、22 Sep 2014:$1,381,000、18 Sep 2012:$1,060,000、17 Jul 1992:$272,500、"
"20 Bertha Road Cremorne, NSW, 2090",LOT A DP360489,Low Density Residential,278,3,2,2,2001,"9 Jul 2019:$5,400,000、25 Jan 2018:$0、24 Oct 2014:$4,225,000、12 Nov 2002:$2,735,000、13 Oct 2000:$1,080,000、9 Dec 1999:$975,000、"
"72 Parraween Street Cremorne, NSW, 2090",LOT Y DP442664,Residential,228,2,1,2,1910,"2 Aug 2019:$2,490,171、24 Apr 2019:$0、"
"30 Macpherson Street Cremorne, NSW, 2090",LOT A DP441850,Residential,348,3,1,1,1905,"2 Jul 2019:$2,055,000、12 May 2007:$900,000、4 Feb 2005:$840,000、24 May 2001:$630,000、"
"30 Richmond Avenue Cremorne, NSW, 2090",LOT 24 DP5210 SEC B,Residential,696,4,2,1,1910,"27 Jun 2019:$2,556,850、"
"8 Lloyd Avenue Cremorne, NSW, 2090",LOT 2 DP552459,Residential,221,2,1,1,1940,"21 Jun 2019:$1,660,000、5 May 2012:$1,042,000、8 Sep 2006:$875,000、16 Feb 2004:$925,000、27 Jan 2000:$585,000、4 Jan 1997:$428,000、26 Jul 1991:$315,000、"
"6 Guthrie Avenue Cremorne, NSW, 2090",LOT 15 DP77554,Residential,519,3,1,1,1910,"13 Jun 2019:$0、23 May 2002:$1,760,000、"
"36A Brightmore Street Cremorne, NSW, 2090",LOT 2 DP848343,Low Density Residential,275,3,3,1,1990,"19 Jun 2019:$1,950,000、29 Oct 2016:$1,800,000、31 Aug 2001:$855,000、12 Aug 1996:$517,500、"
"36 Waters Road Cremorne, NSW, 2090",LOT 12 DP809814,Residential,278,2,2,1,1930,"13 Jun 2019:$0、27 May 2010:$1,350,000、7 Dec 2007:$1,070,000、25 Sep 1998:$622,000、19 Nov 1991:$325,000、8 Jun 1988:$368,200、"
